UniqueID,County,Precinct,Donald J. Trump,Joe R. Biden,Jo Jorgensen,Don_Per,Joe_Per,Don_MOV,Joe_MOV,Total_Pres,David A. Purdue,Jon Ossoff,Pur_Per,Oss_Per,Pur_MOV,Oss_MOV,Total_Sen1,Kelly Loeffler,Raphael Warnock,Loe_Per,War_Per,Loe_MOV,War_MOV,Others,Total_Sen2
"Barrow,13 Winder Community Center",Barrow,13 Winder Community Center,3664,2036,108,63.08,35.05,28.03,-28.03,5808,3579,1998,62.08,34.65,27.43,-27.43,5765,1859,1204,32.53,21.07,11.46,-11.46,2651,5714
"Barrow,16 The Church at Winder",Barrow,16 The Church at Winder,4395,2467,160,62.58,35.13,27.45,-27.45,7022,4321,2402,62.11,34.52,27.59,-27.59,6957,2450,1382,35.66,20.11,15.55,-15.55,3038,6870
"Bartow,Adairsville",Bartow,Adairsville,3819,908,73,79.56,18.91,60.65,-60.65,4800,3734,880,78.56,18.51,60.05,-60.05,4753,2027,621,43.06,13.19,29.87,-29.87,2059,4707
"Bartow,Allatoona",Bartow,Allatoona,1997,696,31,73.31,25.55,47.76,-47.76,2724,1926,672,71.41,24.91,46.5,-46.5,2697,1150,428,42.91,15.97,26.94,-26.94,1102,2680
"Bartow,Cartersville East",Bartow,Cartersville East,2810,1527,65,63.83,34.68,29.15,-29.15,4402,2767,1485,63.36,34,29.36,-29.36,4367,1582,953,36.33,21.88,14.45,-14.45,1819,4354
"Bartow,Cartersville West",Bartow,Cartersville West,4030,1776,61,68.68,30.27,38.41,-38.41,5867,4040,1638,69.36,28.12,41.24,-41.24,5824,2395,1150,41.46,19.9,21.56,-21.56,2231,5776
"Bartow,Cassville",Bartow,Cassville,2259,1019,53,67.81,30.59,37.22,-37.22,3331,2192,995,66.6,30.23,36.37,-36.37,3291,1261,636,38.5,19.41,19.09,-19.09,1378,3275
"Bartow,Center",Bartow,Center,2312,568,48,78.96,19.39,59.57,-59.57,2928,2282,556,78.2,19.05,59.15,-59.15,2918,1323,374,45.68,12.91,32.77,-32.77,1199,2896
"Bartow,Emerson",Bartow,Emerson,1582,414,29,78.12,20.44,57.68,-57.68,2025,1568,396,77.85,19.66,58.19,-58.19,2014,931,274,46.5,13.68,32.82,-32.82,797,2002
"Bartow,Euharlee",Bartow,Euharlee,2859,853,69,75.61,22.56,53.05,-53.05,3781,2797,832,74.68,22.21,52.47,-52.47,3745,1641,542,44.18,14.59,29.59,-29.59,1531,3714
"Bartow,Folsom",Bartow,Folsom,897,113,8,88.11,11.1,77.01,-77.01,1018,877,107,87.17,10.63,76.54,-76.54,1006,497,75,49.89,7.53,42.36,-42.36,424,996
"Bartow,Hamilton Crossing",Bartow,Hamilton Crossing,3228,921,45,76.96,21.95,55.01,-55.01,4194,3186,890,76.36,21.33,55.03,-55.03,4172,1847,546,44.73,13.22,31.51,-31.51,1736,4129
"Bartow,Kingston",Bartow,Kingston,1550,305,27,82.35,16.2,66.15,-66.15,1882,1543,267,83,14.36,68.64,-68.64,1859,872,208,47.05,11.22,35.83,-35.83,773,1853
"Bartow,Mission Road",Bartow,Mission Road,2070,711,25,73.77,25.33,48.44,-48.44,2806,2024,706,72.41,25.25,47.16,-47.16,2795,1094,453,39.83,16.49,23.34,-23.34,1199,2746
"Bartow,Pine Log",Bartow,Pine Log,1369,189,25,86.48,11.93,74.55,-74.55,1583,1334,188,84.91,11.96,72.95,-72.95,1571,739,118,47.25,7.54,39.71,-39.71,707,1564
"Bartow,Taylorsville",Bartow,Taylorsville,1861,206,25,88.95,9.84,79.11,-79.11,2092,1830,209,88.02,10.05,77.97,-77.97,2079,1088,143,53.04,6.97,46.07,-46.07,820,2051
"Bartow,White",Bartow,White,1648,275,32,84.29,14.06,70.23,-70.23,1955,1625,271,83.8,13.97,69.83,-69.83,1939,939,189,49,9.86,39.14,-39.14,788,1916
"Bartow,Zena Drive",Bartow,Zena Drive,2422,1314,64,63.73,34.57,29.16,-29.16,3800,2337,1279,62.62,34.27,28.35,-28.35,3732,1238,771,33.47,20.84,12.63,-12.63,1689,3698
"Bartow,Woodland",Bartow,Woodland,961,297,21,75.13,23.22,51.91,-51.91,1279,947,293,74.44,23.03,51.41,-51.41,1272,559,174,44.29,13.78,30.51,-30.51,529,1262
"Ben Hill,East",Ben Hill,East,1249,1182,20,50.95,48.22,2.73,-2.73,2451,1249,1135,51.59,46.88,4.71,-4.71,2421,547,629,22.8,26.21,-3.41,3.41,1223,2399
"Ben Hill,West",Ben Hill,West,2861,1210,38,69.62,29.44,40.18,-40.18,4109,2828,1149,69.72,28.32,41.4,-41.4,4056,1233,679,30.48,16.78,13.7,-13.7,2133,4045
"Berrien,West Berrien",Berrien,West Berrien,706,67,7,90.51,8.58,81.93,-81.93,780,682,73,88.22,9.44,78.78,-78.78,773,340,47,44.56,6.15,38.41,-38.41,376,763
"Berrien,Ray City",Berrien,Ray City,1062,216,12,82.32,16.74,65.58,-65.58,1290,1028,211,80.12,16.44,63.68,-63.68,1283,538,114,42.52,9.01,33.51,-33.51,613,1265
"Berrien,Nashville",Berrien,Nashville,3393,694,25,82.51,16.87,65.64,-65.64,4112,3345,636,82.42,15.67,66.75,-66.75,4058,1770,342,44.11,8.52,35.59,-35.59,1900,4012
"Berrien,Enigma",Berrien,Enigma,636,86,6,87.36,11.81,75.55,-75.55,728,617,87,86.53,12.2,74.33,-74.33,713,328,55,46.06,7.72,38.34,-38.34,329,712
